,Unnamed: 0,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
81,18,F-14,키타산도,26.1,0,0,-0.6725065464630274,1.2205288696501553,-0.6733259802262709,-1.1147728228665883,-0.44758570505996825,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,-0.7977240352174656,-1.1364994872603884,0.15617376188860607,0.32964959858486886
82,19,F-15,메이지진구마에〈하라주쿠〉,27.3,1,0,-0.10534574204398404,-0.287183263447095,0.13466519604525415,0.34836650714580897,0.04711428474315455,-0.32444284226152503,-0.22360679774997896,0.6324555320336758,0.39886201760873286,0.16530901632878361,-1.1556858379756847,0.32964959858486886
83,20,F-16,시부야,28.3,1,0,2.4804519613467955,-0.287183263447095,2.9626343129955917,1.8115058371582062,3.0153142235618913,3.082207001484488,4.47213595499958,0.6324555320336758,1.5954480704349314,1.5291084010412497,-0.827720938009612,1.232602846882553
84,0,601,Pelham Bay Park,0.0,1,1,-0.5421387099342818,-3.1757178577444893,-0.3308912980041792,-0.6379527762554914,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,-0.8790208695658189,-0.6763222343719615,-0.5569282150859187
85,1,602,Buhre Avenue,0.9,1,1,-0.6511701809519423,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.6142804664965837,-0.20039177314724785,0.06552096648069632
86,2,603,Middletown Road,1.3,1,1,-0.7116448004011764,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-1.6649689411776099,-0.9142874649843183,0.06552096648069632
87,3,604,Westchester Square­East Tremont Avenue,2.1,1,1,-0.5794219972911332,0.6052934820244068,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-0.2502624122763862,-0.20039177314724785,-0.2457036243026112
88,4,605,Zerega Avenue,2.6,1,1,-0.6898224011059135,-1.2852121878600413,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.22130643069068834,-0.9142874649843183,0.06552096648069632
89,5,606,Castle Hill Avenue,3.1,1,1,-0.5619882354925192,-1.2852121878600413,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.9286596951413001,-0.6763222343719615,-0.2457036243026112
90,6,607,Parkchester,3.9,1,1,-0.2553070262083538,0.6052934820244068,-0.3308912980041792,-0.6379527762554914,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,-0.2502624122763862,0.5135039186898226,-0.5569282150859187
91,7,608,St. Lawrence Avenue,4.6,0,1,-0.6367561238528572,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.3784960450130465,-0.4383570037596047,-0.2457036243026112
92,8,609,Morrison Avenue­Soundview,5.2,0,1,-0.5602569381314558,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.6142804664965837,0.037573457465108984,-0.5569282150859187
93,9,610,Elder Avenue,5.7,0,1,-0.557358021619908,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.5356856593354047,0.037573457465108984,-0.5569282150859187
94,10,611,Whitlock Avenue,6.4,0,1,-0.7128526822809881,0.6052934820244068,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-1.1934000982105353,-0.9142874649843183,-0.5569282150859187
95,11,612,Hunts Point Avenue,7.2,1,0,-0.4274301940815069,0.6052934820244068,-0.3308912980041792,-0.6379527762554914,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,0.4570908521742256,0.27553868807746584,-0.5569282150859187
96,12,613,Longwood Avenue,7.9,0,0,-0.672831529329897,0.6052934820244068,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-0.7218312552434607,-0.6763222343719615,-0.2457036243026112
97,13,614,East 149th Street,8.8,0,0,-0.6157389791441353,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.06411681636833018,0.037573457465108984,-0.5569282150859187
